,PC1,PC2,PC3
GSM158711,10.729410163918631,-8.727229236647348,-1.2806129082746447
GSM158712,10.756109338637836,-2.9292970997941428,0.37870594612727193
GSM158713,10.527104977520874,-0.3270192875361147,-0.047049855575463
GSM158714,10.680107217867645,9.686142820827627,1.0639173327636147
GSM158715,11.006160939764527,-6.724606190279484,0.09978539337816963
GSM158716,10.60116242900741,-2.6915722400369333,0.4556226749573423
GSM158717,10.40750229923409,3.3550349780699658,-0.4452661373275592
GSM158718,10.631727399507728,-2.0756733896838937,-1.2897990123304306
GSM158719,10.62857471405024,-2.6233270289075694,0.3309448548189077
GSM158720,11.032036590987058,1.5071740390348813,1.6388799900896402
GSM158721,10.730546902650412,1.892020018843148,0.5179220742397516
GSM158722,10.719938614347456,0.13409850652166141,1.2203867942807696
GSM158723,11.205625195583766,2.4075567770319055,2.5394349072289204
GSM158724,10.985174721091463,-1.1252080967118565,1.768477889098207
GSM158725,11.857055231688753,7.60386136714135,4.40354563545565
GSM158726,10.930784459172141,-3.287852205491849,0.9853525930087544
GSM158727,11.339349849834463,-8.016698537704924,1.3658905043778555
GSM158728,11.199329730739736,-3.9358662459482088,1.3388118247549654
GSM158729,10.51371363329464,5.3141679063742595,0.5719189883952012
GSM158730,11.032969570301207,-4.2613158869917935,0.6587074918661768
GSM158731,10.835533959052409,3.1833998834024175,1.7034088043453308
GSM158732,10.915968802806944,-3.6267190187057476,0.28730911451073654
GSM158733,10.828438693752462,1.363859805882782,1.555936306458143
GSM158734,10.88374086748195,-4.1467021179276164,0.4970366470009686
GSM158735,10.39667320655778,10.13999412841737,0.2407682467569078
GSM158736,10.223499885313192,8.941973298600411,0.3914730654902004
GSM158737,10.350821386846265,3.8217581653984483,-0.4598043952234621
GSM158738,10.600601082323436,-1.3893433234268655,-0.29335103272001795
GSM158739,10.44493747739972,5.559544414967719,-0.6296262074672647
GSM158740,10.549233172003579,-1.2321335926234402,-0.6377486059717572
GSM158741,10.70191761195564,-1.7548839489360342,0.7498629635159453
GSM158742,10.321394124420117,5.00868096793858,0.3829315778677797
GSM158743,10.627227055453494,-3.8576416457477696,0.11753911516354831
GSM158744,10.551393193455175,-3.1974328540640857,-0.6942806482495827
GSM158745,10.88248056487904,-9.813865806567138,-1.4874407296600605
GSM158746,10.450619785082795,0.7111271361665884,-0.9625487951128725
GSM158747,10.644583371231317,-0.2609559307463921,0.8038934269947803
GSM158748,10.784582880513543,-4.783464117256407,-0.04000133374046951
GSM158749,11.454004023031255,-6.563518244811707,2.126008749986019
GSM158750,10.61798781604491,-2.968453755820578,-0.19529123594976283
GSM158751,10.336626935970497,12.5986608964917,0.1867334770707253
GSM158752,10.636625251840869,-2.6043866097672908,0.4304870191705268
GSM158753,10.536121832266607,-2.37591641892363,-0.10260460534757587
GSM158754,11.010828113155469,-5.255585189787343,1.2467055668813398
GSM158755,10.634745887493624,-5.050050201544063,-0.6909244511482747
GSM158756,10.611015466100033,5.461887863853916,1.000523319699741
GSM158757,10.996721837039953,-7.039546493279889,-0.04369220333522235
GSM158758,11.649407682903263,-0.8824867014115867,3.103919298550366
GSM158759,10.507617953236725,-3.8697538692357596,-1.317772567562499
GSM158760,10.31627204810003,11.467011705713166,-0.34274382216127136
GSM158761,10.338253697619793,-1.5000818710481119,-1.2599393702499162
GSM158762,10.459062688630556,3.1800275783415834,-0.05539713436458254
GSM158763,10.36822467015352,-4.080811850712256,-0.6819546271708289
GSM158764,10.840799102098917,7.1209468664778575,1.9336248530226259
GSM158765,10.514953259302954,-2.1365488173963114,-0.8408262039678266
GSM158766,10.661424159303861,-5.096223387190448,-0.4982731797949632
GSM158767,10.40899118029996,0.7580523456998604,-0.8018497182544214
GSM158768,10.567591308052767,-3.554302272694722,0.3172131433793331
GSM158769,10.344391571243554,1.6007551233170219,0.04344532677280992
GSM158770,10.606137816358402,-2.4312341369927797,-0.030720350114075954
GSM158771,10.472678745367876,3.4223070910100195,-0.3165920511924743
GSM158772,10.585824794628024,-2.753780886740666,-0.6443223502307507
GSM158773,10.72043069538561,-5.7208650988389635,-0.9733729509623945
GSM158774,10.385884961647353,5.2564423735067205,0.3902234019912155
GSM158775,10.501284913700747,3.2303448645541133,0.5460106625203383
GSM158776,10.767932621712434,-8.498366300511822,-0.8621097051318944
GSM158777,10.416226828032103,7.7151585739831265,0.0918107645949828
GSM158778,10.452999154365601,8.851753486673116,0.051236494018402606
GSM158779,10.329172590336974,4.367634461661534,0.19614844613317375
GSM158780,10.593743694493936,-4.919574057350182,-0.07903269612867678
GSM158781,10.554422424230635,-4.479992974202542,-1.0476586423893957
GSM158782,10.33031116739058,-3.061320905873403,-0.9100808145566346
GSM158783,10.416430170667693,4.024535535596655,0.8311900082770841
GSM158784,10.60201937078228,-2.0861636982978604,0.2636869774055425
GSM158785,10.515303047557634,0.9920479772751607,0.22110148404444957
GSM158786,10.920044925618848,5.134906879008466,0.6627210255548149
GSM158787,10.350633161337178,9.89055624396892,0.42244979260169635
GSM158788,10.560026142520128,-1.641993680496743,-0.49216455027611267
GSM158789,10.797061239750514,-2.7068433902598286,0.3434872190364588
GSM158790,10.462201315478175,-1.7608927745337213,-0.3712060857446072
GSM158791,10.543743371421957,8.204652039670602,1.335747463520345
GSM158792,10.574537181006407,0.3295015352368298,0.6940435440843871
GSM158793,11.043442086198642,11.914826574622152,2.312072991764543
GSM158794,11.231283306094578,-5.642406381109202,1.0239081291339653
GSM158795,11.049910909850256,-6.287602753438875,1.0878924137292216
GSM158796,10.627584168221922,-0.6843539504561239,0.8169346575180192
