,Cluster_0,Cluster_1,Cluster_2,Cluster_3
1553441_at,4.906890596000009,-2.4684599999999994,-0.9706916666666664,4.906890596000023
1555102_at,4.906890596000009,-1.8736849999999996,-0.9646166666666665,4.906890596000023
1555756_a_at,9.364427372327048,7.753542499999999,7.035502777777778,6.049532473947028
1555745_a_at,12.30858645384277,11.092450000000003,11.004794444444443,10.06075483045364
1556395_at,5.576665371251584,2.1462574999999995,1.7630249999999998,5.597983885708626
1556598_at,4.909363760333343,-0.3511499999999999,0.6671083333333332,4.998536131963597
1553808_a_at,6.196462262012587,4.1829725,5.1665333333333345,6.3023787404768346
1554764_a_at,4.906890596000009,-0.6801625,-0.28707777777777777,4.906890596000023
1553963_at,4.906890596000009,-0.5984300000000001,-0.4452583333333333,4.906890596000023
1555412_at,4.906890596000009,-1.1562025,0.38580833333333336,4.906890596000023
1557636_a_at,4.906890596000009,0.15813000000000002,-0.5732583333333334,4.906890596000023
1555939_at,4.906890596000009,-0.35584499999999997,-0.05183333333333335,4.906890596000023
1554920_at,4.906890596000009,0.003022500000000017,0.12209166666666664,4.906890596000023
1556366_s_at,4.906890596000009,-0.6642174999999999,0.24380833333333335,4.90918537164903
1555928_at,4.906890596000009,-1.0122874999999998,0.9155527777777777,4.906890596000023
1552661_at,4.906890596000009,0.01882750000000003,0.5770527777777777,4.908838162000023
1555111_at,4.906890596000009,-0.6711675,0.7954222222222223,4.906890596000023
1557017_at,4.906890596000009,0.15016999999999997,0.051425000000000054,4.906890596000023
1554892_a_at,7.002843347937108,7.224670000000001,7.236627777777778,7.032053454215235
1552972_at,4.906890596000009,0.0008700000000000142,0.16721388888888888,4.907153908380819
1559265_at,4.945003326911957,0.6181400000000001,0.8308611111111113,5.0035343647450485
1559483_at,4.906890596000009,-0.38489249999999997,0.2232805555555555,4.906890596000023
1552521_a_at,4.906890596000009,-0.07154749999999999,0.3706916666666667,4.914902314182143
1557627_at,4.906890596000009,-0.05767999999999999,0.3093666666666668,4.906890596000023
1557692_a_at,4.906890596000009,-0.1794075,0.5054666666666667,4.906890596000023
1553886_at,4.906890596000009,-0.3364175,0.7655583333333335,4.906890596000023
1554723_x_at,4.906890596000009,-0.14873250000000016,0.9764916666666665,4.906890596000023
1554354_at,4.906890596000009,-0.10760750000000005,1.0451611111111112,4.906890596000023
1559477_s_at,6.946829581993713,5.949910000000001,6.044130555555556,6.765200762708618
1556300_s_at,4.906890596000009,-0.0031400000000000594,1.0814527777777778,4.906890596000023
1557741_at,4.906890596000009,-0.0005899999999999649,0.5987000000000003,4.906890596000023
1555504_at,4.906890596000009,0.31077000000000005,0.3173361111111111,4.906890596000023
1554507_at,4.906890596000009,-0.31323250000000014,1.4189388888888892,4.908192692453666
1559502_s_at,8.498250118924528,7.7065600000000005,6.032799999999999,6.009536184986763
1555167_s_at,7.9449033729496845,6.977097499999997,5.909116666666666,6.1051872982086195
1554899_s_at,10.898340253805035,9.463752500000002,9.047813888888887,8.273079291139076
1559147_at,4.929706262748437,0.18300000000000005,1.1354333333333335,5.006024958298035
1553183_at,5.487238327540887,4.486384999999999,4.9426250000000005,6.078644974258289
1553546_at,4.906890596000009,-0.2696125,1.1924305555555559,4.906890596000023
1553362_at,4.906890596000009,0.2812799999999999,0.8652861111111113,4.906890596000023
1552771_a_at,4.906890596000009,-0.06997500000000002,0.5505722222222222,4.906890596000023
1554997_a_at,7.13021077755346,6.325782500000001,6.037180555555555,5.988650300221868
1555800_at,4.906890596000009,-0.1735425,0.7386138888888889,4.906890596000023
1553320_s_at,4.906890596000009,-0.21389250000000004,1.7267944444444439,4.906890596000023
1556759_at,4.906890596000009,0.1351275,0.9429083333333335,4.907316865251679
1558667_at,4.906890596000009,-0.14301999999999998,1.135336111111111,4.906890596000023
